id,connector,efficiency_lens,role,prompt
EFF-001,Square,direct,ops,"Square only. Reply with yesterday's total sales as one number and the currency. No tables, no commentary."
EFF-002,Square,scoped,ops,"Square only. List the 3 largest voids from yesterday over $50. If fewer than 3, list all. Nothing else."
EFF-003,Square,single_pass,ops,"Square only. If Downtown sales are >10% under the 7-day average, create one task for the GM due today with the gap amount attached. If not under, reply exactly: CLEAR."
EFF-004,Square,locked,ops,"Use Square only — do not query Sheets, Stripe, or any other connector. What was average ticket size at Midtown last Saturday dinner?"
EFF-005,Square,compressed,ops,"Square only. Compress last week's hourly sales for Downtown into 3 bullets: peak hour, slowest hour, YoY direction. Max 40 words."
EFF-006,Square,idle,ops,"Square only. Any location with a sync error or zero sales while scheduled open in the last 2 hours? If none, reply exactly: CLEAR."
EFF-007,Toast,direct,ops,Toast only. One number: labor cost % for Downtown dinner last Friday.
EFF-008,Toast,scoped,ops,Toast only. Top 5 menu items by revenue yesterday. Names and totals only — no narrative.
EFF-009,Toast,single_pass,ops,"Toast only. If open tickets at Downtown exceed 12 right now, draft one Slack alert for #ops (do not send) and stop. If not, reply exactly: CLEAR."
EFF-010,Toast,locked,ops,Toast only — ignore Square/Clover. Compare this lunch period's covers to the same weekday last week for Downtown. Two numbers and a % delta.
EFF-011,Toast,compressed,ops,Toast only. Summarize last night's voids and comps in ≤25 words.
EFF-012,Toast,idle,ops,"Toast only. Any station with ticket time >20 minutes right now? If none, reply exactly: CLEAR."
EFF-013,Clover,direct,ops,Clover only. One number: open tab count older than 90 minutes right now.
EFF-014,Clover,scoped,ops,Clover only. List declined card attempts over $100 from last night. Amount + last4 only.
EFF-015,Clover,single_pass,ops,"Clover only. If tip rate last Saturday dinner is under 15%, create a task for the floor lead due before next Saturday. Else reply exactly: CLEAR."
EFF-016,Clover,locked,ops,"Clover only — do not use Square or Toast. Batch settle status for last night: settled or not, one line."
EFF-017,Clover,compressed,ops,Clover only. Cash vs card mix yesterday in one line with two percentages.
EFF-018,Clover,idle,ops,"Clover only. Any unsynced devices in the last hour? If none, reply exactly: CLEAR."
EFF-019,Shopify,direct,ops,Shopify only. One number: unfulfilled orders older than 48 hours.
EFF-020,Shopify,scoped,ops,Shopify only. Top 3 SKUs by units sold today. SKU and units only.
EFF-021,Shopify,single_pass,ops,"Shopify only. If refund rate today exceeds 5%, draft a Gmail note to Support lead (do not send) with the rate. Else reply exactly: CLEAR."
EFF-022,Shopify,locked,ops,Shopify only — do not pull Stripe. Abandoned checkouts in the last 6 hours: count only.
EFF-023,Shopify,compressed,ops,Shopify only. Yesterday's order funnel (sessions → checkout → paid) in one line.
EFF-024,Shopify,idle,ops,"Shopify only. Any fulfillment SLA breaches open right now? If none, reply exactly: CLEAR."
EFF-025,Stripe,direct,ops,Stripe only. One number: open dispute count right now.
EFF-026,Stripe,scoped,ops,Stripe only. Disputes with evidence due in ≤72 hours. ID + due date only. Cap at 10.
EFF-027,Stripe,single_pass,ops,"Stripe only. If yesterday's payout is >$50 under expected charges net of fees, create a Finance task for D. Park due today with the gap. Else reply exactly: CLEAR."
EFF-028,Stripe,locked,ops,Stripe only — do not query Shopify or Square. Failed payments last 24h: count + top failure code.
EFF-029,Stripe,compressed,ops,Stripe only. Last 7 days fees as one total and % of GMV. Two figures max.
EFF-030,Stripe,idle,ops,"Stripe only. Any payout stuck in pending >2 business days? If none, reply exactly: CLEAR."
EFF-031,Plaid,direct,ops,Plaid only. One number: operating account available balance now.
EFF-032,Plaid,scoped,ops,"Plaid only. Last 5 transactions over $500. Date, amount, merchant. Nothing else."
EFF-033,Plaid,single_pass,ops,"Plaid only. If available balance is under $25k, create an urgent Finance task due today. Else reply exactly: CLEAR."
EFF-034,Plaid,locked,ops,Plaid only — do not open QuickBooks or Xero. Any pending debit over $10k? Yes/No and amount if yes.
EFF-035,Plaid,compressed,ops,Plaid only. Net cash movement last 7 days in one signed number.
EFF-036,Plaid,idle,ops,"Plaid only. Is the bank feed stale (>24h since last sync)? If healthy, reply exactly: CLEAR."
EFF-037,QuickBooks,direct,ops,QuickBooks only. One number: count of bills overdue >14 days.
EFF-038,QuickBooks,scoped,ops,QuickBooks only. Top 5 overdue bills by amount. Vendor + amount + days overdue. No prose.
EFF-039,QuickBooks,single_pass,ops,"QuickBooks only. If any bill >$5k is overdue >30 days, create an AP task for Finance due tomorrow with vendor names. Else reply exactly: CLEAR."
EFF-040,QuickBooks,locked,ops,QuickBooks only — do not use Xero or Plaid. MTD net income vs same month last year: two numbers and %.
EFF-041,QuickBooks,compressed,ops,QuickBooks only. AP aging buckets (current/1-30/31-60/61+) as four numbers in one line.
EFF-042,QuickBooks,idle,ops,"QuickBooks only. Any uncategorized bank transactions older than 7 days? If none, reply exactly: CLEAR."
EFF-043,Xero,direct,ops,Xero only. One number: unmatched bank reconciliation items.
EFF-044,Xero,scoped,ops,Xero only. List unmatched items over $200. Date + amount + description. Cap 10.
EFF-045,Xero,single_pass,ops,"Xero only. If unmatched items exceed 15, create a close-task for the bookkeeper due EOD. Else reply exactly: CLEAR."
EFF-046,Xero,locked,ops,Xero only — do not query QuickBooks. Month-to-date revenue vs budget: two numbers and variance %.
EFF-047,Xero,compressed,ops,Xero only. Bank rec status in ≤15 words.
EFF-048,Xero,idle,ops,"Xero only. Any sync errors in the last 24 hours? If none, reply exactly: CLEAR."
EFF-049,Gmail,direct,ops,Gmail only. One number: unread vendor emails in the last 72 hours.
EFF-050,Gmail,scoped,ops,Gmail only. Subject lines of the 5 most recent unread finance-tagged threads. Subjects only.
EFF-051,Gmail,single_pass,ops,"Gmail only. If any landlord email is unread >48h, draft a reply (do not send) and create a Mail task for M. Ortiz due today. Else reply exactly: CLEAR."
EFF-052,Gmail,locked,ops,Gmail only — do not search Drive or Notion. Newest payroll-provider email: date + one-line summary.
EFF-053,Gmail,compressed,ops,Gmail only. Compress the latest vendor complaint thread into ≤30 words. No quotes dump.
EFF-054,Gmail,idle,ops,"Gmail only. Any draft older than 24h still waiting on approval? If none, reply exactly: CLEAR."
EFF-055,Google Sheets,direct,ops,"Google Sheets only. From 'Daily Close', one number: count of stores red on labor % today."
EFF-056,Google Sheets,scoped,ops,Google Sheets only. 'Ops KPIs' — rows where variance >3%. Store + variance only. Cap 10.
EFF-057,Google Sheets,single_pass,ops,"Google Sheets only. If any store variance >5% vs plan, create a Finance task for D. Park due today attaching those rows. Else reply exactly: CLEAR."
